,Название площадки,Адрес,vector
182,"Москва-сити, Panorama 360","Пресненская набережная, 12","Москва-сити, Panorama 360 Пресненская набережная, 12"
183,Клуб «Main Stage»,Шарикоподшипниковская ул д. 13 стр 33,Клуб «Main Stage» Шарикоподшипниковская ул д. 13 стр 33
184,Паб «O’Donoghue’s»,"Пятницкая ул., 29, Москва (этаж 0)","Паб «O’Donoghue’s» Пятницкая ул., 29, Москва (этаж 0)"
185,ГлавClub,"г. Москва, улица Орджоникидзе, дом 11, строение 1","ГлавClub г. Москва, улица Орджоникидзе, дом 11, строение 1"
186,Клуб «Powerhouse Moscow»,"Улица Гончарная, дом 7/4","Клуб «Powerhouse Moscow» Улица Гончарная, дом 7/4"
187,ФГБУК Театр «Студия театрального искусства»,"г. Москва, ул. Станиславского, 21c7","ФГБУК Театр «Студия театрального искусства» г. Москва, ул. Станиславского, 21c7"
188,Ресторан «Dream City»,"Москва, Краснопресненская наб., 16, стр. 1","Ресторан «Dream City» Москва, Краснопресненская наб., 16, стр. 1"
189,Аэродром «Чёрное»,"г. Балашиха, деревня Федурново, улица Авиарембаза, дом 7","Аэродром «Чёрное» г. Балашиха, деревня Федурново, улица Авиарембаза, дом 7"
190,Академия будущего (Алексеевская),"г. Москва, улица Новоалексеевская, дом 6","Академия будущего (Алексеевская) г. Москва, улица Новоалексеевская, дом 6"
191,Музей Вадима Сидура,"г. Москва, Новогиреевская ул., д.37А","Музей Вадима Сидура г. Москва, Новогиреевская ул., д.37А"
192,Nebar на Пятницкой,"г. Москва, Пятницкая улица, дом 66, строение 2","Nebar на Пятницкой г. Москва, Пятницкая улица, дом 66, строение 2"
193,Арт-кафе «Чехонте»,"г.Москва. Леонтьевский переулок, д 21/1, стр 1, вход во двора","Арт-кафе «Чехонте» г.Москва. Леонтьевский переулок, д 21/1, стр 1, вход во двора"
194,Стадион «Знамя»,"Московская обл., г. Ногинск, улица Санаторная, дом 3","Стадион «Знамя» Московская обл., г. Ногинск, улица Санаторная, дом 3"
195,КСРК ВОС,"г. Москва, улица Куусинена, дом 19 а","КСРК ВОС г. Москва, улица Куусинена, дом 19 а"
196,Lюstra Bar,"Москва, проспект 60-летия Октября, дом 27","Lюstra Bar Москва, проспект 60-летия Октября, дом 27"
197,ДК им. Воровского,"Раменское, улица Воровского, дом 4","ДК им. Воровского Раменское, улица Воровского, дом 4"
198,"Арбат, 39","г. Москва, улица Арбат, дом 39","Арбат, 39 г. Москва, улица Арбат, дом 39"
